epoch,loss
0.15,1.0845
0.3,0.9699
0.45,0.9298
0.6,0.9014
0.75,0.8909
0.9,0.8573
1.05,0.8527
1.2,0.8007
1.35,0.7743
1.5,0.7702
1.65,0.7758
1.8,0.7575
1.95,0.7581
2.1,0.7049
2.25,0.6779
2.4,0.7003
2.55,0.6889
2.7,0.6916
2.85,0.6866
3,0.6715
3.15,0.6145
3.3,0.6137
3.45,0.6197
3.6,0.6136
3.75,0.6161
3.9,0.6192
4.05,0.5971
4.2,0.5362
4.35,0.5455
4.5,0.5481
4.65,0.5557
4.8,0.5574
4.95,0.5543
5.1,0.4848
5.25,0.4849
5.4,0.4865
5.55,0.4878
5.7,0.4853
5.85,0.4964
6,0.4972
6.15,0.4135
6.3,0.4209
6.45,0.4283
6.6,0.4285
6.75,0.4413
6.9,0.4487
7.05,0.416
7.2,0.3667
7.35,0.3766
7.5,0.3894
7.65,0.3868
7.8,0.3979
7.95,0.4028
8.1,0.3423
8.25,0.3374
8.4,0.3434
8.55,0.35
8.7,0.3538
8.85,0.3638
9.01,0.3639
9.16,0.2995
9.31,0.311
9.46,0.3128
9.61,0.3219
9.76,0.3306
9.91,0.3376
10.06,0.3121
10.21,0.282
10.36,0.2881
10.51,0.2958
10.66,0.3027
10.81,0.3085
10.96,0.3107
11.11,0.2753
11.26,0.2679
11.41,0.2738
11.56,0.2824
11.71,0.2849
11.86,0.2918
12.01,0.2913
12.16,0.2516
12.31,0.2561
12.46,0.2601
12.61,0.2693
12.76,0.271
12.91,0.2817
13.06,0.2616
13.21,0.2406
13.36,0.2465
13.51,0.2543
13.66,0.2587
13.81,0.2623
13.96,0.2649
14.11,0.2373
14.26,0.2324
14.41,0.2382
14.56,0.245
14.71,0.2505
14.86,0.2538
