epoch,loss
0.2,1.3728
0.4,1.1106
0.6,1.0701
0.8,1.0392
1,0.9949
1.2,0.9183
1.4,0.898
1.6,0.8922
1.8,0.8586
2,0.8707
2.2,0.7523
2.4,0.7621
2.6,0.7586
2.8,0.7511
3,0.7491
3.2,0.6231
3.4,0.6356
3.6,0.6387
3.8,0.6391
4,0.6448
4.2,0.506
4.4,0.5269
4.6,0.5306
4.8,0.5299
5,0.5355
5.2,0.4174
5.4,0.4329
5.6,0.4387
5.8,0.4415
6,0.4506
6.2,0.3525
6.4,0.3669
6.6,0.3699
6.8,0.3805
7,0.3829
7.2,0.3109
7.4,0.3195
7.6,0.3259
7.8,0.3323
8,0.3351
8.2,0.2776
8.4,0.2824
8.6,0.2926
8.8,0.2979
9,0.2991
9.2,0.2502
9.4,0.2554
9.6,0.2656
9.8,0.2704
10,0.2669
10.2,0.2295
10.4,0.2337
10.6,0.241
10.8,0.243
11,0.245
11.2,0.2107
11.4,0.2148
11.6,0.2196
11.8,0.2238
12,0.2249
12.2,0.1958
12.4,0.198
12.6,0.2024
12.8,0.2055
13,0.2062
13.2,0.1821
13.4,0.186
13.6,0.1885
13.8,0.19
14,0.1923
14.2,0.1742
14.4,0.1752
14.6,0.1765
14.8,0.1818
15,0.178
15.2,0.1658
15.4,0.1671
15.6,0.1681
15.8,0.1709
16.01,0.1722
16.21,0.1599
16.41,0.1614
16.61,0.1616
16.81,0.1641
17.01,0.1637
17.21,0.154
17.41,0.1555
17.61,0.1567
17.81,0.1593
18.01,0.1592
18.21,0.1488
18.41,0.1514
18.61,0.1517
18.81,0.1543
19.01,0.1543
19.21,0.1454
19.41,0.1469
19.61,0.1466
19.81,0.1483
