epoch,loss
0.2,1.532
0.4,1.0144
0.6,0.9654
0.8,0.9326
1,0.8952
1.2,0.8603
1.4,0.8243
1.6,0.8196
1.8,0.7833
2,0.7937
2.2,0.7282
2.4,0.7317
2.6,0.7227
2.8,0.7141
3,0.71
3.2,0.6495
3.4,0.6528
3.6,0.6463
3.8,0.6459
4,0.6481
4.2,0.5757
4.4,0.588
4.6,0.5812
4.8,0.5789
5,0.5806
5.2,0.5074
5.4,0.5202
5.6,0.5148
5.8,0.5146
6,0.5254
6.2,0.4401
6.4,0.4548
6.6,0.4575
6.8,0.4649
7,0.4647
7.2,0.3865
7.4,0.4033
7.6,0.4063
7.8,0.4087
8,0.4131
8.2,0.3418
8.4,0.352
8.6,0.3606
8.8,0.3646
9,0.3666
9.2,0.3049
9.4,0.3152
9.6,0.3194
9.8,0.3282
10,0.3262
10.2,0.2781
10.4,0.2837
10.6,0.2886
10.8,0.2936
11,0.2931
11.2,0.2521
11.4,0.2601
11.6,0.2646
11.8,0.2679
12,0.2664
12.2,0.2356
12.4,0.2376
12.6,0.2435
12.8,0.2464
13,0.2472
13.2,0.2185
13.4,0.2212
13.6,0.2258
13.8,0.2283
14,0.2278
14.2,0.2041
14.4,0.2079
14.6,0.2113
14.8,0.2139
15,0.2098
15.2,0.1922
15.4,0.1954
15.6,0.199
15.8,0.1983
16.01,0.198
16.21,0.1834
16.41,0.1833
16.61,0.1867
16.81,0.1869
17.01,0.1866
17.21,0.1725
17.41,0.1762
17.61,0.1744
17.81,0.1762
18.01,0.1777
18.21,0.1648
18.41,0.1666
18.61,0.1671
18.81,0.1688
19.01,0.1681
19.21,0.1607
19.41,0.1587
19.61,0.1608
19.81,0.1593
