Epochs,learning-rate
0.12,0.000166667
0.24,0.000333333
0.36,0.0005
0.48,0.000499869
0.6,0.000499474
0.72,0.000498817
0.84,0.000497899
0.96,0.00049672
1.08,0.000495281
1.2,0.000493584
1.32,0.000491631
1.44,0.000489424
1.56,0.000486965
1.68,0.000484257
1.8,0.000481302
1.92,0.000478104
2.04,0.000474667
2.16,0.000470992
2.28,0.000467086
2.4,0.000462951
2.52,0.000458592
2.64,0.000454013
2.76,0.00044922
2.88,0.000444218
3,0.000439011
3.12,0.000433605
3.24,0.000428006
3.36,0.00042222
3.48,0.000416253
3.61,0.000410111
3.73,0.000403801
3.85,0.000397328
3.97,0.000390701
4.09,0.000383926
4.21,0.00037701
4.33,0.00036996
4.45,0.000362784
4.57,0.000355489
4.69,0.000348084
4.81,0.000340575
4.93,0.000332971
5.05,0.00032528
5.17,0.00031751
5.29,0.000309668
5.41,0.000301764
5.53,0.000293805
5.65,0.000285801
5.77,0.000277758
5.89,0.000269687
6.01,0.000261595
6.13,0.00025349
6.25,0.000245382
6.37,0.000237279
6.49,0.000229189
6.61,0.000221121
6.73,0.000213083
6.85,0.000205084
6.97,0.000197133
7.09,0.000189237
7.21,0.000181405
7.33,0.000173645
7.45,0.000165965
7.57,0.000158374
7.69,0.000150879
7.81,0.000143489
7.93,0.00013621
8.05,0.000129052
8.17,0.00012202
8.29,0.000115123
8.41,0.000108368
8.53,0.000101762
8.65,9.53117E-05
8.77,8.90242E-05
8.89,8.29061E-05
9.01,7.69637E-05
9.13,7.12033E-05
9.25,6.56311E-05
9.37,6.02527E-05
9.49,5.50739E-05
9.61,5.01002E-05
9.73,4.53368E-05
9.85,4.07886E-05
9.97,3.64605E-05
10.09,3.2357E-05
10.21,2.84824E-05
10.33,2.48409E-05
10.45,2.14362E-05
10.57,1.82719E-05
10.69,1.53514E-05
10.82,1.26776E-05
10.94,1.02536E-05
11.06,8.08166E-06
11.18,6.16423E-06
11.3,4.50328E-06
11.42,3.10057E-06
11.54,1.95756E-06
11.66,1.07547E-06
11.78,4.55E-07
11.9,9.74E-08
