epoch,loss
0.15,1.1823
0.3,1.0931
0.45,1.0459
0.6,1.0127
0.75,0.9934
0.9,0.9551
1.05,0.9333
1.2,0.8574
1.35,0.8404
1.5,0.8391
1.65,0.8528
1.8,0.8312
1.95,0.8395
2.1,0.7414
2.25,0.7016
2.4,0.7276
2.55,0.7222
2.7,0.726
2.85,0.7251
3,0.7121
3.15,0.5858
3.3,0.598
3.45,0.6038
3.6,0.6083
3.75,0.6135
3.9,0.6213
4.05,0.5735
4.2,0.4845
4.35,0.506
4.5,0.5099
4.65,0.5203
4.8,0.527
4.95,0.5307
5.1,0.4401
5.25,0.4249
5.4,0.4344
5.55,0.4426
5.7,0.4446
5.85,0.4576
6,0.4597
6.15,0.3615
6.3,0.3753
6.45,0.3846
6.6,0.3933
6.75,0.4051
6.9,0.4078
7.05,0.3807
7.2,0.3355
7.35,0.3439
7.5,0.3544
7.65,0.359
7.8,0.3696
7.95,0.3747
8.1,0.324
8.25,0.3108
8.4,0.3175
8.55,0.3297
8.7,0.3367
8.85,0.3459
9.01,0.3457
9.16,0.2818
9.31,0.2941
9.46,0.2997
9.61,0.3128
9.76,0.3187
9.91,0.3215
10.06,0.3015
10.21,0.2685
10.36,0.2786
10.51,0.2833
10.66,0.2953
10.81,0.3016
10.96,0.3033
11.11,0.2686
11.26,0.2587
11.41,0.2641
11.56,0.2747
11.71,0.2814
11.86,0.2866
12.01,0.2885
12.16,0.2388
12.31,0.2474
12.46,0.2568
12.61,0.2645
12.76,0.2672
12.91,0.2728
13.06,0.258
13.21,0.2312
13.36,0.2413
13.51,0.2471
13.66,0.2527
13.81,0.2575
13.96,0.2661
14.11,0.2325
14.26,0.227
14.41,0.2328
14.56,0.2405
14.71,0.2461
14.86,0.2535
